'P2P Skype client login startup',BitTorrent,uTorrent,,,,,,,,,,,,,,,,,
'P2P Skype client login',BitTorrent,uTorrent,,,,,,,,,,,,,,,,,
AlienVault HIDS: Logon Failure - Account's password expired.,Consecutive failed SMB login attempts,Consecutive failed Telnet logins,Suspicious Account Enumeration,Suspicious SMB Permission Errors,Suspicious SSH connection,Suspicious VNC Connection,SMBv1,Potential SMB Brute Force Attack,IMAP Clear-Text Password Transmission,Active Directory Password Policy Query,,,,,,,,,
AlienVault HIDS: Logon Failure - Unknown user or bad password.,Consecutive failed SMB login attempts,Consecutive failed Telnet logins,Suspicious Account Enumeration,Suspicious Password Policy Query,Suspicious SMB Permission Errors,Suspicious SSH connection,Suspicious VNC Connection,SMBv1,Potential SMB Brute Force Attack,IMAP Clear-Text Password Transmission,Active Directory Password Policy Query,,,,,,,,
AlienVault HIDS: Logon Failure - User not granted logon type.,Consecutive failed SMB login attempts,Consecutive failed Telnet logins,Suspicious Account Enumeration,Suspicious Password Policy Query,Suspicious SMB Permission Errors,Suspicious SSH connection,Suspicious VNC Connection,SMBv1,Potential SMB Brute Force Attack,IMAP Clear-Text Password Transmission,Active Directory Password Policy Query,,,,,,,,
AlienVault HIDS: Multiple XSS (Cross Site Scripting) attempts from same source ip.,Possible Cross Site Scripting Attempt,Unusual Possible Cross Site Scripting Attempt,,,,,,,,,,,,,,,,,
AlienVault HIDS: Multiple remote access login failures.,Consecutive failed SMB login attempts,Potential Lateral Movement: Psexec SMB Create,Potential SMB Brute Force Attack,Potential SMB probe for MS17-010 patch,SMBv1,Suspicious SMB Permission Errors,Suspicious use of SMBv1,Mirai Login Attempt,Administrator RDP Connection,RDP protocol,RDP Connection with Nessus Cookie,RDP Connection with nmap Cookie,RDP Connection with rapid Cookie,RDP Jump Box,Suspicious RDP Jump Box,Suspicious RDP connection,PsExec interaction,Suspicious VNC Connection,Mirai Variant
AlienVault HIDS: Multiple web server 400 error codes from same source ip.,Metasploit web server,Web Application Attack,Blocked HTTP Connection,HTTP 414 URI Too Long,Sinkhole host,Suspicious DNS Resolution,Suspicious Dynamic DNS Public IP Check,Suspicious URL,URLhaus blacklisted host,,,,,,,,,,
AlienVault HIDS: SQL injection attempt.,SQL Injection,,,,,,,,,,,,,,,,,,
AlienVault HIDS: SSHD authentication success.,SSH connection on unusual port,Suspicious SSH connection,Connection received on unusual port,Unusual connection between two hosts,,,,,,,,,,,,,,,
AlienVault HIDS: SSHD brute force trying to get access to the system.,SSH connection on unusual port,Suspicious SSH connection,Connection received on unusual port,Unusual connection between two hosts,,,,,,,,,,,,,,,
AlienVault HIDS: Windows Logon Failure.,,,,,,,,,,,,,,,,,,,
AlienVault NIDS: 'BACKDOOR c99shell.php command request - cmd',Web Shell Command,Potential Remote Shell Command,Potential Web Shell Command,Suspicious Remote Shell Command,Command Execution Over SMB,Potential ThinkPHP RCE Exploitation Attempt,,,,,,,,,,,,,
